"full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation","pa.meth"
"mp_PA3_RUN1_MAXENT","PA3","RUN1","MAXENT","TSS",221,93.75,85.857,0.797,0.717,NA,"Random"
"mp_PA3_RUN1_MAXENT","PA3","RUN1","MAXENT","ROC",226,93.75,86.714,0.955,0.907,NA,"Random"
"mp_PA3_RUN2_MAXENT","PA3","RUN2","MAXENT","TSS",456,87.5,92.143,0.796,0.78,NA,"Random"
"mp_PA3_RUN2_MAXENT","PA3","RUN2","MAXENT","ROC",461,87.5,92.286,0.944,0.945,NA,"Random"
"mp_PA3_RUN3_MAXENT","PA3","RUN3","MAXENT","TSS",502,87.5,92.571,0.801,0.933,NA,"Random"
"mp_PA3_RUN3_MAXENT","PA3","RUN3","MAXENT","ROC",500,87.5,92.571,0.945,0.969,NA,"Random"
"mp_PA4_RUN1_MAXENT","PA4","RUN1","MAXENT","TSS",404,87.5,90.786,0.784,0.764,NA,"Random"
"mp_PA4_RUN1_MAXENT","PA4","RUN1","MAXENT","ROC",404.5,87.5,90.857,0.952,0.913,NA,"Random"
"mp_PA4_RUN2_MAXENT","PA4","RUN2","MAXENT","TSS",331,93.75,89.357,0.832,0.588,NA,"Random"
"mp_PA4_RUN2_MAXENT","PA4","RUN2","MAXENT","ROC",334.5,93.75,89.5,0.955,0.922,NA,"Random"
"mp_PA4_RUN3_MAXENT","PA4","RUN3","MAXENT","TSS",290,100,89.643,0.897,0.455,NA,"Random"
"mp_PA4_RUN3_MAXENT","PA4","RUN3","MAXENT","ROC",295.5,100,89.857,0.967,0.891,NA,"Random"
"mp_PA5_RUN1_MAXENT","PA5","RUN1","MAXENT","TSS",311,93.75,86.486,0.804,0.728,NA,"Random"
"mp_PA5_RUN1_MAXENT","PA5","RUN1","MAXENT","ROC",317,93.75,86.857,0.949,0.932,NA,"Random"
"mp_PA5_RUN2_MAXENT","PA5","RUN2","MAXENT","TSS",331,93.75,86.457,0.803,0.882,NA,"Random"
"mp_PA5_RUN2_MAXENT","PA5","RUN2","MAXENT","ROC",336.5,93.75,86.857,0.949,0.949,NA,"Random"
"mp_PA5_RUN3_MAXENT","PA5","RUN3","MAXENT","TSS",227,100,83.257,0.833,0.827,NA,"Random"
"mp_PA5_RUN3_MAXENT","PA5","RUN3","MAXENT","ROC",227.5,100,83.286,0.957,0.938,NA,"Random"
