"full.name","group.level","group.value","count.level","count.value","perc.level","perc.value","range.level","range.value"
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Loss",10380,"PercLoss",-49.858,"CurrentRangeSize",20819
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Loss",12387,"PercLoss",-41.556,"CurrentRangeSize",29808
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable0",344567,"PercLoss",-49.858,"CurrentRangeSize",20819
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable0",335043,"PercLoss",-41.556,"CurrentRangeSize",29808
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable1",10439,"PercLoss",-49.858,"CurrentRangeSize",20819
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable1",17421,"PercLoss",-41.556,"CurrentRangeSize",29808
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Gain",130,"PercLoss",-49.858,"CurrentRangeSize",20819
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Gain",665,"PercLoss",-41.556,"CurrentRangeSize",29808
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Loss",10380,"PercGain",0.624,"CurrentRangeSize",20819
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Loss",12387,"PercGain",2.231,"CurrentRangeSize",29808
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable0",344567,"PercGain",0.624,"CurrentRangeSize",20819
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable0",335043,"PercGain",2.231,"CurrentRangeSize",29808
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable1",10439,"PercGain",0.624,"CurrentRangeSize",20819
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable1",17421,"PercGain",2.231,"CurrentRangeSize",29808
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Gain",130,"PercGain",0.624,"CurrentRangeSize",20819
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Gain",665,"PercGain",2.231,"CurrentRangeSize",29808
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Loss",10380,"SpeciesRangeChange",-49.234,"CurrentRangeSize",20819
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Loss",12387,"SpeciesRangeChange",-39.325,"CurrentRangeSize",29808
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable0",344567,"SpeciesRangeChange",-49.234,"CurrentRangeSize",20819
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable0",335043,"SpeciesRangeChange",-39.325,"CurrentRangeSize",29808
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable1",10439,"SpeciesRangeChange",-49.234,"CurrentRangeSize",20819
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable1",17421,"SpeciesRangeChange",-39.325,"CurrentRangeSize",29808
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Gain",130,"SpeciesRangeChange",-49.234,"CurrentRangeSize",20819
