"full.name","group.level","group.value","count.level","count.value","perc.level","perc.value","range.level","range.value"
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",17685,"PercLoss",-55.222,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",15759,"PercLoss",-45.177,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",333464,"PercLoss",-55.222,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",328533,"PercLoss",-45.177,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",14340,"PercLoss",-55.222,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",19124,"PercLoss",-45.177,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",27,"PercLoss",-55.222,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",2100,"PercLoss",-45.177,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",17685,"PercGain",0.084,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",15759,"PercGain",6.02,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",333464,"PercGain",0.084,"CurrentRangeSize",32025
