"full.name","group.level","group.value","count.level","count.value","perc.level","perc.value","range.level","range.value"
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Loss",14874,"PercLoss",-90.124,"CurrentRangeSize",16504
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Loss",18784,"PercLoss",-79.234,"CurrentRangeSize",23707
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable0",349010,"PercLoss",-90.124,"CurrentRangeSize",16504
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable0",338538,"PercLoss",-79.234,"CurrentRangeSize",23707
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable1",1630,"PercLoss",-90.124,"CurrentRangeSize",16504
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable1",4923,"PercLoss",-79.234,"CurrentRangeSize",23707
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Gain",2,"PercLoss",-90.124,"CurrentRangeSize",16504
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Gain",3271,"PercLoss",-79.234,"CurrentRangeSize",23707
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Loss",14874,"PercGain",0.012,"CurrentRangeSize",16504
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Loss",18784,"PercGain",13.798,"CurrentRangeSize",23707
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable0",349010,"PercGain",0.012,"CurrentRangeSize",16504
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable0",338538,"PercGain",13.798,"CurrentRangeSize",23707
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable1",1630,"PercGain",0.012,"CurrentRangeSize",16504
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable1",4923,"PercGain",13.798,"CurrentRangeSize",23707
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Gain",2,"PercGain",0.012,"CurrentRangeSize",16504
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Gain",3271,"PercGain",13.798,"CurrentRangeSize",23707
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Loss",14874,"SpeciesRangeChange",-90.111,"CurrentRangeSize",16504
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Loss",18784,"SpeciesRangeChange",-65.436,"CurrentRangeSize",23707
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable0",349010,"SpeciesRangeChange",-90.111,"CurrentRangeSize",16504
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable0",338538,"SpeciesRangeChange",-65.436,"CurrentRangeSize",23707
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable1",1630,"SpeciesRangeChange",-90.111,"CurrentRangeSize",16504
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable1",4923,"SpeciesRangeChange",-65.436,"CurrentRangeSize",23707
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Gain",2,"SpeciesRangeChange",-90.111,"CurrentRangeSize",16504
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Gain",3271,"SpeciesRangeChange",-65.436,"CurrentRangeSize",23707
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Loss",14874,"PercLoss",-90.124,"FutureRangeSize.NoDisp",1630
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Loss",18784,"PercLoss",-79.234,"FutureRangeSize.NoDisp",4923
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable0",349010,"PercLoss",-90.124,"FutureRangeSize.NoDisp",1630
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable0",338538,"PercLoss",-79.234,"FutureRangeSize.NoDisp",4923
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable1",1630,"PercLoss",-90.124,"FutureRangeSize.NoDisp",1630
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable1",4923,"PercLoss",-79.234,"FutureRangeSize.NoDisp",4923
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Gain",2,"PercLoss",-90.124,"FutureRangeSize.NoDisp",1630
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Gain",3271,"PercLoss",-79.234,"FutureRangeSize.NoDisp",4923
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Loss",14874,"PercGain",0.012,"FutureRangeSize.NoDisp",1630
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Loss",18784,"PercGain",13.798,"FutureRangeSize.NoDisp",4923
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable0",349010,"PercGain",0.012,"FutureRangeSize.NoDisp",1630
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable0",338538,"PercGain",13.798,"FutureRangeSize.NoDisp",4923
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable1",1630,"PercGain",0.012,"FutureRangeSize.NoDisp",1630
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable1",4923,"PercGain",13.798,"FutureRangeSize.NoDisp",4923
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Gain",2,"PercGain",0.012,"FutureRangeSize.NoDisp",1630
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Gain",3271,"PercGain",13.798,"FutureRangeSize.NoDisp",4923
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Loss",14874,"SpeciesRangeChange",-90.111,"FutureRangeSize.NoDisp",1630
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Loss",18784,"SpeciesRangeChange",-65.436,"FutureRangeSize.NoDisp",4923
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable0",349010,"SpeciesRangeChange",-90.111,"FutureRangeSize.NoDisp",1630
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable0",338538,"SpeciesRangeChange",-65.436,"FutureRangeSize.NoDisp",4923
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable1",1630,"SpeciesRangeChange",-90.111,"FutureRangeSize.NoDisp",1630
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable1",4923,"SpeciesRangeChange",-65.436,"FutureRangeSize.NoDisp",4923
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Gain",2,"SpeciesRangeChange",-90.111,"FutureRangeSize.NoDisp",1630
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Gain",3271,"SpeciesRangeChange",-65.436,"FutureRangeSize.NoDisp",4923
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Loss",14874,"PercLoss",-90.124,"FutureRangeSize.FullDisp",1632
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Loss",18784,"PercLoss",-79.234,"FutureRangeSize.FullDisp",8194
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable0",349010,"PercLoss",-90.124,"FutureRangeSize.FullDisp",1632
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable0",338538,"PercLoss",-79.234,"FutureRangeSize.FullDisp",8194
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable1",1630,"PercLoss",-90.124,"FutureRangeSize.FullDisp",1632
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable1",4923,"PercLoss",-79.234,"FutureRangeSize.FullDisp",8194
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Gain",2,"PercLoss",-90.124,"FutureRangeSize.FullDisp",1632
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Gain",3271,"PercLoss",-79.234,"FutureRangeSize.FullDisp",8194
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Loss",14874,"PercGain",0.012,"FutureRangeSize.FullDisp",1632
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Loss",18784,"PercGain",13.798,"FutureRangeSize.FullDisp",8194
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable0",349010,"PercGain",0.012,"FutureRangeSize.FullDisp",1632
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable0",338538,"PercGain",13.798,"FutureRangeSize.FullDisp",8194
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable1",1630,"PercGain",0.012,"FutureRangeSize.FullDisp",1632
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable1",4923,"PercGain",13.798,"FutureRangeSize.FullDisp",8194
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Gain",2,"PercGain",0.012,"FutureRangeSize.FullDisp",1632
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Gain",3271,"PercGain",13.798,"FutureRangeSize.FullDisp",8194
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Loss",14874,"SpeciesRangeChange",-90.111,"FutureRangeSize.FullDisp",1632
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Loss",18784,"SpeciesRangeChange",-65.436,"FutureRangeSize.FullDisp",8194
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable0",349010,"SpeciesRangeChange",-90.111,"FutureRangeSize.FullDisp",1632
"Quercus.semecarpifolia_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable0",338538,"SpeciesRangeChange",-65.436,"FutureRangeSize.FullDisp",8194
"Quercus.semecarpifolia_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Quercus.semecarpifolia","Stable1",1630,"SpeciesRangeChange",-90.111,"FutureRangeSize.FullDisp",1632
