"full.name","group.level","group.value","count.level","count.value","perc.level","perc.value","range.level","range.value"
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",11813,"PercLoss",-36.887,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",11173,"PercLoss",-32.03,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",333395,"PercLoss",-36.887,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",330345,"PercLoss",-32.03,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",20212,"PercLoss",-36.887,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",23710,"PercLoss",-32.03,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",96,"PercLoss",-36.887,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",288,"PercLoss",-32.03,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",11813,"PercGain",0.3,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",11173,"PercGain",0.826,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",333395,"PercGain",0.3,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",330345,"PercGain",0.826,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",20212,"PercGain",0.3,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",23710,"PercGain",0.826,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",96,"PercGain",0.3,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",288,"PercGain",0.826,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",11813,"SpeciesRangeChange",-36.587,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",11173,"SpeciesRangeChange",-31.204,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",333395,"SpeciesRangeChange",-36.587,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",330345,"SpeciesRangeChange",-31.204,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",20212,"SpeciesRangeChange",-36.587,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",23710,"SpeciesRangeChange",-31.204,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",96,"SpeciesRangeChange",-36.587,"CurrentRangeSize",32025
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",288,"SpeciesRangeChange",-31.204,"CurrentRangeSize",34883
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",11813,"PercLoss",-36.887,"FutureRangeSize.NoDisp",20212
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",11173,"PercLoss",-32.03,"FutureRangeSize.NoDisp",23710
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",333395,"PercLoss",-36.887,"FutureRangeSize.NoDisp",20212
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",330345,"PercLoss",-32.03,"FutureRangeSize.NoDisp",23710
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",20212,"PercLoss",-36.887,"FutureRangeSize.NoDisp",20212
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",23710,"PercLoss",-32.03,"FutureRangeSize.NoDisp",23710
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",96,"PercLoss",-36.887,"FutureRangeSize.NoDisp",20212
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",288,"PercLoss",-32.03,"FutureRangeSize.NoDisp",23710
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",11813,"PercGain",0.3,"FutureRangeSize.NoDisp",20212
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",11173,"PercGain",0.826,"FutureRangeSize.NoDisp",23710
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",333395,"PercGain",0.3,"FutureRangeSize.NoDisp",20212
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",330345,"PercGain",0.826,"FutureRangeSize.NoDisp",23710
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",20212,"PercGain",0.3,"FutureRangeSize.NoDisp",20212
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",23710,"PercGain",0.826,"FutureRangeSize.NoDisp",23710
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",96,"PercGain",0.3,"FutureRangeSize.NoDisp",20212
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",288,"PercGain",0.826,"FutureRangeSize.NoDisp",23710
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",11813,"SpeciesRangeChange",-36.587,"FutureRangeSize.NoDisp",20212
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",11173,"SpeciesRangeChange",-31.204,"FutureRangeSize.NoDisp",23710
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",333395,"SpeciesRangeChange",-36.587,"FutureRangeSize.NoDisp",20212
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",330345,"SpeciesRangeChange",-31.204,"FutureRangeSize.NoDisp",23710
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",20212,"SpeciesRangeChange",-36.587,"FutureRangeSize.NoDisp",20212
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",23710,"SpeciesRangeChange",-31.204,"FutureRangeSize.NoDisp",23710
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",96,"SpeciesRangeChange",-36.587,"FutureRangeSize.NoDisp",20212
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",288,"SpeciesRangeChange",-31.204,"FutureRangeSize.NoDisp",23710
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",11813,"PercLoss",-36.887,"FutureRangeSize.FullDisp",20308
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",11173,"PercLoss",-32.03,"FutureRangeSize.FullDisp",23998
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",333395,"PercLoss",-36.887,"FutureRangeSize.FullDisp",20308
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",330345,"PercLoss",-32.03,"FutureRangeSize.FullDisp",23998
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",20212,"PercLoss",-36.887,"FutureRangeSize.FullDisp",20308
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",23710,"PercLoss",-32.03,"FutureRangeSize.FullDisp",23998
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",96,"PercLoss",-36.887,"FutureRangeSize.FullDisp",20308
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",288,"PercLoss",-32.03,"FutureRangeSize.FullDisp",23998
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",11813,"PercGain",0.3,"FutureRangeSize.FullDisp",20308
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",11173,"PercGain",0.826,"FutureRangeSize.FullDisp",23998
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",333395,"PercGain",0.3,"FutureRangeSize.FullDisp",20308
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",330345,"PercGain",0.826,"FutureRangeSize.FullDisp",23998
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",20212,"PercGain",0.3,"FutureRangeSize.FullDisp",20308
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",23710,"PercGain",0.826,"FutureRangeSize.FullDisp",23998
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",96,"PercGain",0.3,"FutureRangeSize.FullDisp",20308
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",288,"PercGain",0.826,"FutureRangeSize.FullDisp",23998
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",11813,"SpeciesRangeChange",-36.587,"FutureRangeSize.FullDisp",20308
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Loss",11173,"SpeciesRangeChange",-31.204,"FutureRangeSize.FullDisp",23998
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",333395,"SpeciesRangeChange",-36.587,"FutureRangeSize.FullDisp",20308
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable0",330345,"SpeciesRangeChange",-31.204,"FutureRangeSize.FullDisp",23998
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",20212,"SpeciesRangeChange",-36.587,"FutureRangeSize.FullDisp",20308
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Stable1",23710,"SpeciesRangeChange",-31.204,"FutureRangeSize.FullDisp",23998
"Rhododendron.arboreum_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",96,"SpeciesRangeChange",-36.587,"FutureRangeSize.FullDisp",20308
"Rhododendron.arboreum_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Rhododendron.arboreum","Gain",288,"SpeciesRangeChange",-31.204,"FutureRangeSize.FullDisp",23998
