species,longitude,latitude,reference
Quercus floribunda,78.47297222,30.63744444,Tiwari2023
Quercus floribunda,78.668,30.40813889,Sharma2018
Quercus floribunda,78.66155556,30.41291667,Sharma2018
Quercus glauca,78.11953333,31.90938333,Amare2016
Quercus glauca,78.12386667,31.86758333,Amare2016
Quercus glauca,77.15896667,30.82945,Amare2016
Quercus glauca,78.17085,31.82308333,Amare2016
Quercus glauca,78.17635,31.80586667,Amare2016
Quercus glauca,76.15186667,32.89928333,Barman2023
Quercus glauca,77.7,31.36,Paul2019
Quercus glauca,77.69,31.36,Paul2019
Quercus lanata,77.36055556,31.17666667,Barman2022
Quercus lanata,77.19916667,31.235,Barman2022
Quercus lanata,77.23222222,31.18638889,Barman2022
Quercus lanata,77.19,31.2,Barman2022
Quercus lanata,77.32444444,31.09138889,Barman2022
Quercus lanata,77.13888889,31.14138889,Barman2022
Quercus lanata,77.14555556,31.04555556,Barman2022
Quercus lanata,77.13583333,31.21305556,Barman2022
Quercus lanata,77.32305556,31.11111111,Barman2022
Quercus lanata,77.26166667,31.21583333,Barman2022
Quercus lanata,77.19444444,31.34111111,Barman2022
Quercus lanata,77.34777778,31.22916667,Barman2022
Quercus lanata,77.24833333,31.215,Barman2022
Quercus lanata,77.20694444,31.18916667,Barman2022
Quercus lanata,77.12408333,31.21855556,Barman2022
Quercus lanata,77.05855556,31.16430556,Barman2022
Quercus lanata,77.03727778,31.16383333,Barman2022
Quercus lanata,77.07283333,31.16091667,Barman2022
Quercus lanata,77.13730556,31.12163889,Barman2022
Quercus lanata,77.13886111,31.11963889,Barman2022
Quercus lanata,76.177575,31.14283611,Barman2022
Quercus lanata,77.40888333,31.77666667,Barman2022
Quercus lanata,77.35971667,31.7686,Barman2022
Quercus lanata,77.3675,31.75833333,Barman2022
Quercus lanata,77.3055,31.78483333,Barman2022
Quercus lanata,77.46276667,31.78553333,Barman2022
Quercus lanata,77.41698333,31.77566667,Barman2022
Quercus lanata,77.40908333,31.769,Barman2022
Quercus lanata,77.33701667,31.80951667,Barman2022
Quercus lanata,77.31988333,31.78985,Barman2022
Quercus lanata,77.39008333,31.77216667,Barman2022
Quercus lanata,77.32235,31.88938333,Barman2022
Quercus lanata,77.22747222,32.22333333,Barman2022
Quercus lanata,77.19086111,32.15447222,Barman2022
Quercus lanata,77.10369444,32.10252778,Barman2022
Quercus lanata,77.08458333,32.09533333,Barman2022
Quercus lanata,77.16727778,32.11838889,Barman2022
Quercus lanata,77.17927778,32.09866667,Barman2022
Quercus lanata,76.80861111,32.08,Barman2022
Quercus lanata,76.86083333,32.08055556,Barman2022
Quercus lanata,76.86083333,32.03194444,Barman2022
Quercus lanata,76.72480556,31.05313889,Barman2022
Quercus lanata,76.90916667,32.18861111,Barman2022
Quercus lanata,77.08527778,31.96361111,Barman2022
Quercus lanata,77.03638889,31.9575,Barman2022
Quercus lanata,76.89694444,32.20361111,Barman2022
Quercus lanata,77.16333333,31.6,Barman2022
Quercus lanata,77.14888889,31.59694444,Barman2022
Quercus lanata,77.12416667,31.66472222,Barman2022
Quercus lanata,77.14888889,31.69083333,Barman2022
Quercus lanata,76.81497222,31.96425,Barman2022
Quercus lanata,77.08361111,31.76333333,Barman2022
Quercus lanata,76.84361111,31.74388889,Barman2022
Quercus lanata,76.93272222,31.51405556,Barman2022
Quercus lanata,76.83394444,32.04033333,Barman2022
Quercus lanata,76.75013889,32.07119444,Barman2022
Quercus lanata,77.20280556,31.31763889,Barman2022
Quercus lanata,77.12527778,31.08944444,Barman2022
Quercus lanata,77.25861111,31.04694444,Barman2022
Quercus lanata,77.18777778,30.95638889,Barman2022
Quercus lanata,77.24222222,31.09555556,Barman2022
Quercus lanata,77.13083333,31.05305556,Barman2022
Quercus lanata,77.21944444,31.05888889,Barman2022
Quercus lanata,77.27083333,30.95944444,Barman2022
Quercus lanata,77.19852778,30.96561111,Barman2022
Quercus lanata,77.20480556,30.98680556,Barman2022
Quercus lanata,77.20352778,30.93680556,Barman2022
Quercus lanata,76.37861111,30.35916667,Barman2022
Quercus lanata,76.43666667,32.38444444,Barman2022
Quercus lanata,76.46861111,32.3825,Barman2022
Quercus lanata,76.41722222,32.38027778,Barman2022
Quercus lanata,76.39111111,32.33166667,Barman2022
Quercus lanata,76.35638889,32.37055556,Barman2022
Quercus lanata,76.50972222,32.33916667,Barman2022
Quercus lanata,76.31758333,32.24994444,Barman2022
Quercus lanata,76.15186667,32.89261667,Barman2022
Quercus lanata,76.0627,32.59623333,Barman2022
Quercus lanata,75.94546667,32.54456667,Barman2022
Quercus lanata,75.95811667,32.54073333,Barman2022
Quercus lanata,76.04736667,32.53568333,Barman2022
Quercus lanata,76.06665,32.53973333,Barman2022
Quercus lanata,76.0672,32.518,Barman2022
Quercus lanata,76.04516667,32.47578333,Barman2022
Quercus lanata,76.17195,32.22928333,Barman2022
Quercus lanata,76.06638333,32.53975,Barman2022
Quercus lanata,76.05268333,32.53796667,Barman2022
Quercus lanata,76.051,32.54755,Barman2022
Quercus lanata,76.03953333,32.5453,Barman2022
Quercus lanata,76.05201667,32.54575,Barman2022
Quercus lanata,77.30155556,30.84891667,Barman2022
Quercus lanata,77.39830556,30.80288889,Barman2022
Quercus lanata,77.40019444,30.824,Barman2022
Quercus lanata,77.52355556,30.76911111,Barman2022
Quercus lanata,77.54913889,30.77880556,Barman2022
Quercus lanata,77.57147222,30.75983333,Barman2022
Quercus lanata,77.11430556,30.81013889,Barman2022
Quercus lanata,77.43213889,30.70136111,Barman2022
Quercus lanata,77.41980556,30.70705556,Barman2022
Quercus lanata,77.59566667,30.71711111,Barman2022
Quercus lanata,76.97361111,31.95666667,Barman2022
Quercus lanata,76.78611111,31.97444444,Barman2022
Quercus lanata,76.15186667,32.89928333,Barman2023
Quercus lanata,76.0627,32.59623333,Barman2023
Quercus lanata,75.94546667,32.54456667,Barman2023
Quercus lanata,75.95811667,32.54073333,Barman2023
Quercus lanata,76.04736667,32.53568333,Barman2023
Quercus lanata,76.06665,32.53973333,Barman2023
Quercus lanata,76.0672,32.518,Barman2023
Quercus lanata,76.04516667,32.47578333,Barman2023
Quercus lanata,76.17195,32.22928333,Barman2023
Quercus lanata,76.06638333,32.53975,Barman2023
Quercus lanata,76.05268333,32.53796667,Barman2023
Quercus lanata,76.051,32.54755,Barman2023
Quercus lanata,76.03953333,32.5453,Barman2023
Quercus lanata,76.05201667,32.54575,Barman2023
Quercus lanata,79.436,29.42383333,Joshi2022
Quercus lanata,79.533,29.4,Negi2021
Quercus lanata,79.43557778,29.4063,Shekhar2022
Quercus lanata,80.65511944,29.97948056,Shekhar2022
Quercus leucotrichophora,79.11953333,32.90938333,Amare2016
Quercus leucotrichophora,79.17085,32.82308333,Amare2016
Quercus leucotrichophora,79.17635,32.80586667,Amare2016
Quercus leucotrichophora,79.47633333,29.37333333,Joshi2022
Quercus leucotrichophora,80.00148056,29.29613889,Joshi2023
Quercus leucotrichophora,79.76388889,29.54694444,KumarShailendra2022
Quercus leucotrichophora,79.75333333,29.53527778,KumarShailendra2022
Quercus leucotrichophora,79.533,29.4,Negi2021
Quercus leucotrichophora,77.38222222,32.05444444,Rawat2010
Quercus leucotrichophora,77.32444444,32.17027778,Rawat2010
Quercus leucotrichophora,77.33944444,31.81583333,Sharma2013
Quercus leucotrichophora,77.32194444,31.79416667,Sharma2013
Quercus leucotrichophora,77.39444444,31.77583333,Sharma2013
Quercus leucotrichophora,77.32611111,31.89333333,Sharma2013
Quercus leucotrichophora,79.728,30.14288889,Shekhar2022
Quercus leucotrichophora,78.94639444,30.49469444,Shekhar2022
Quercus leucotrichophora,78.88613889,30.17533333,Singh2016
Quercus leucotrichophora,78.827,30.1255,Singh2016
Quercus leucotrichophora,78.82563889,30.13988889,Singh2016
Quercus leucotrichophora,78.47297222,30.14236111,Tiwari2018
Quercus leucotrichophora,78.47297222,30.63744444,Tiwari2023
Quercus leucotrichophora,78.56013889,30.45463889,Tiwari2023
Quercus leucotrichophora,78.59205556,30.45675,Tiwari2023
Quercus leucotrichophora,78.47941667,30.63622222,Tiwari2023
Quercus leucotrichophora,78.78369444,30.488,Tiwari2023
Quercus leucotrichophora,78.49172222,30.45333333,Tiwari2023
Quercus leucotrichophora,78.56436111,30.17516667,Tiwari2023
Quercus leucotrichophora,78.656,30.16411111,Sharma2018
Quercus leucotrichophora,78.66130556,30.17516667,Sharma2018
Quercus leucotrichophora,78.683,30.79452778,Sharma2018
Quercus leucotrichophora,79.38333333,29.33333333,Dhyani2020
Quercus leucotrichophora,79.7,29.5,Dhyani2020
Quercus leucotrichophora,79.68333333,29.53333333,Dhyani2020
Quercus leucotrichophora,77.56666667,28.71666667,Dhyani2020
Quercus leucotrichophora,81.03333333,31.45,Dhyani2020
Quercus leucotrichophora,79.25388889,30.45944444,Dhyani2020
Quercus leucotrichophora,79.65,29.48333333,Dhyani2020
Quercus leucotrichophora,79.41666667,29.48333333,Dhyani2020
Quercus leucotrichophora,80.98333333,29.96666667,Dhyani2020
Quercus leucotrichophora,78.83333333,30.66666667,Dhyani2020
Quercus leucotrichophora,78.91666667,30.75,Dhyani2020
Quercus leucotrichophora,79.26277778,30.475,Dhyani2020
Quercus leucotrichophora,79.25583333,30.46666667,Dhyani2020
Quercus leucotrichophora,78.02083333,30.45805556,Dhyani2020
Quercus leucotrichophora,79.05008333,29.42341667,Dhyani2020
Quercus leucotrichophora,79.40883333,29.46261111,Dhyani2020
Quercus leucotrichophora,79.31613889,29.65,Dhyani2020
Quercus leucotrichophora,79.56405556,29.4045,Dhyani2020
Quercus leucotrichophora,79.64113889,29.47613889,Dhyani2020
Quercus leucotrichophora,79.61666667,29.36711111,Dhyani2020
Quercus leucotrichophora,79.75,29.70088889,Dhyani2020
Quercus leucotrichophora,79.45,29.80541667,Dhyani2020
Quercus leucotrichophora,79.75,29.70088889,Dhyani2020
Quercus leucotrichophora,79.84791667,29.65088889,Dhyani2020
Quercus leucotrichophora,81.03333333,31.45,Dhyani2020
Quercus leucotrichophora,79.55,29.58333333,Dhyani2020
Quercus leucotrichophora,79.54277778,29.35472222,Dhyani2020
Quercus leucotrichophora,80.09183333,29.71305556,Dhyani2020
Quercus leucotrichophora,80.33333333,29.9,Dhyani2020
Quercus leucotrichophora,80.36666667,29.88333333,Dhyani2020
Quercus leucotrichophora,80.5,29.93833333,Dhyani2020
Quercus leucotrichophora,79.26666667,29.83333333,Dhyani2020
Quercus leucotrichophora,79.26666667,30.33333333,Dhyani2020
Quercus leucotrichophora,79.72,29.572,Dhyani2020
Quercus leucotrichophora,79.92397222,30.22208333,Dhyani2020
Quercus leucotrichophora,79.91041667,30.12361111,Dhyani2020
Quercus leucotrichophora,79.90513889,30.22508333,Dhyani2020
Quercus leucotrichophora,79.99166667,30.18647222,Dhyani2020
Quercus leucotrichophora,80.23802778,29.86111111,Dhyani2020
Quercus leucotrichophora,80.57083333,30.07116667,Dhyani2020
Quercus leucotrichophora,80.24480556,30.08422222,Dhyani2020
Quercus leucotrichophora,80.20522222,29.27116667,Dhyani2020
Quercus leucotrichophora,79.29583333,30.35644444,Dhyani2020
Quercus leucotrichophora,79.53527778,29.3525,Dhyani2020
Quercus leucotrichophora,79.54416667,29.41277778,Dhyani2020
Quercus leucotrichophora,79.29561111,30.37988889,Dhyani2020
Quercus leucotrichophora,79.45361111,29.84,Dhyani2020
Quercus leucotrichophora,78.28625,30.13077778,Dhyani2020
Quercus leucotrichophora,79.69066667,29.54966667,Dhyani2020
Quercus leucotrichophora,79.23494444,30.08563889,Dhyani2020
Quercus leucotrichophora,79.08947778,30.50080833,Dhyani2020
Quercus leucotrichophora,79.09048056,30.50008333,Dhyani2020
Quercus leucotrichophora,79.03646944,30.58093333,Dhyani2020
Quercus leucotrichophora,79.03027778,30.5825,Dhyani2020
Quercus leucotrichophora,79.24177778,30.10633333,Dhyani2020
Quercus leucotrichophora,78.24733333,30.24319444,Dhyani2020
Quercus leucotrichophora,78.60511111,30.31613889,Dhyani2020
Quercus leucotrichophora,79.01094444,30.10102778,Dhyani2020
Quercus leucotrichophora,78.48311111,30.64186111,Dhyani2020
Quercus leucotrichophora,78.69133333,30.38411111,Dhyani2020
Quercus leucotrichophora,78.24177778,30.09163889,Dhyani2020
Quercus leucotrichophora,78.82088889,30.53405556,Dhyani2020
Quercus leucotrichophora,79.0765,30.51522222,Dhyani2020
Quercus leucotrichophora,79.54558333,30.54602778,Dhyani2020
Quercus leucotrichophora,78.8465,30.13816667,Dhyani2020
Quercus leucotrichophora,78.64788889,30.35433333,Dhyani2020
Quercus leucotrichophora,78.68563889,29.84855556,Dhyani2020
Quercus leucotrichophora,79.12555556,30.4865,Dhyani2020
Quercus leucotrichophora,78.08983333,30.42344444,Dhyani2020
Quercus leucotrichophora,78.86613889,29.96313889,Dhyani2020
Quercus leucotrichophora,79.18552778,30.19302778,Dhyani2020
Quercus leucotrichophora,79.42830556,30.39930556,Dhyani2020
Quercus leucotrichophora,78.25497222,30.77147222,Dhyani2020
Quercus leucotrichophora,79.07569444,30.07847222,Dhyani2020
Quercus leucotrichophora,79.47219444,29.39916667,Dhyani2020
Quercus leucotrichophora,78.61111111,30.2975,Dhyani2020
Quercus leucotrichophora,78.79625,30.11941667,Dhyani2020
Quercus leucotrichophora,79.41194444,30.04527778,Dhyani2020
Quercus leucotrichophora,78.78244444,30.27372222,Dhyani2020
Quercus leucotrichophora,78.44975,30.57791667,Dhyani2020
Quercus leucotrichophora,79.54285278,29.35472222,Dhyani2020
Quercus leucotrichophora,78.88613889,30.17533333,Dhyani2020
Quercus leucotrichophora,78.77766667,31.31066667,Dhyani2020
Quercus leucotrichophora,78.827,30.1255,Dhyani2020
Quercus leucotrichophora,78.82563889,30.13988889,Dhyani2020
Quercus leucotrichophora,79.03669444,30.24758333,Dhyani2020
Quercus leucotrichophora,78.78902778,29.83786111,Dhyani2020
Quercus leucotrichophora,79.04608333,30.57161111,Dhyani2020
Quercus leucotrichophora,78.32833333,30.21777778,Dhyani2020
Quercus leucotrichophora,78.08472222,30.39027778,Dhyani2020
Quercus leucotrichophora,79.05411111,30.29983333,Dhyani2020
Quercus leucotrichophora,78.79930556,29.84405556,Dhyani2020
Quercus leucotrichophora,79.04694444,30.57591667,Dhyani2020
Quercus leucotrichophora,78.38805556,30.26333333,Dhyani2020
Quercus leucotrichophora,78.11888889,30.46388889,Dhyani2020
Quercus leucotrichophora,78.43658333,30.57463889,Dhyani2020
Quercus leucotrichophora,78.61916667,30.30111111,Dhyani2020
Quercus leucotrichophora,79.16666667,30.21666667,Dhyani2020
Quercus leucotrichophora,78.79513889,30.12008333,Dhyani2020
Quercus leucotrichophora,79.44611111,30.0575,Dhyani2020
Quercus leucotrichophora,79.86666667,29.5,Dhyani2020
Quercus leucotrichophora,79.46666667,29.38333333,Dhyani2020
Quercus leucotrichophora,80.03138889,30.4625,Dhyani2020
Quercus leucotrichophora,79.72,29.572,Dhyani2020
Quercus leucotrichophora,79.24722222,30.09552778,Dhyani2020
Quercus leucotrichophora,79.28011111,30.13808333,Dhyani2020
Quercus leucotrichophora,78.51926667,30.65208333,Dhyani2020
Quercus leucotrichophora,79.16206667,30.01655,Dhyani2020
Quercus leucotrichophora,79.20066667,30.06273333,Dhyani2020
Quercus leucotrichophora,79.71722222,29.572,Dhyani2020
Quercus leucotrichophora,79.69555556,29.54966667,Dhyani2020
Quercus leucotrichophora,79.43333333,29.36666667,Dhyani2020
Quercus leucotrichophora,79.55933333,29.56666667,Dhyani2020
Quercus leucotrichophora,78.3,29.78333333,Dhyani2020
Quercus leucotrichophora,79.81666667,29.4,Dhyani2020
Quercus leucotrichophora,79.68333333,29.5,Dhyani2020
Quercus leucotrichophora,80.08733333,29.65391667,Dhyani2020
Quercus leucotrichophora,80.05683333,29.63001667,Dhyani2020
Quercus leucotrichophora,80.20976667,29.62935,Dhyani2020
Quercus semecarpifolia,79.24163889,30.45319444,Ginwal2023
Quercus semecarpifolia,79.19786111,30.48108333,Ginwal2023
Quercus semecarpifolia,77.86619444,30.74788889,Ginwal2023
Quercus semecarpifolia,77.90866667,30.76983333,Ginwal2023
Quercus semecarpifolia,77.83272222,30.75844444,Ginwal2023
Quercus semecarpifolia,79.31113889,30.49277778,Ginwal2023
Quercus semecarpifolia,79.56494444,30.52397222,Ginwal2023
Quercus semecarpifolia,78.46011111,30.99516667,Ginwal2023
Quercus semecarpifolia,78.209,30.75561111,Ginwal2023
Quercus semecarpifolia,78.50488889,30.64816667,Ginwal2023
Quercus semecarpifolia,78.66033333,30.84122222,Ginwal2023
Quercus semecarpifolia,79.10156944,30.05197778,Ginwal2023
Quercus semecarpifolia,79.43474444,29.40705,Ginwal2023
Quercus semecarpifolia,78.95111389,30.49696667,Ginwal2023
Quercus semecarpifolia,80.21029444,30.06390833,Ginwal2023
Quercus semecarpifolia,78.99509167,30.03836667,Ginwal2023
Quercus semecarpifolia,79.72181667,30.14087222,Ginwal2023
Quercus semecarpifolia,77.13133333,31.55916667,Ginwal2023
Quercus semecarpifolia,77.164,31.08333333,Ginwal2023
Quercus semecarpifolia,78.141525,30.58561111,Ginwal2023
Quercus semecarpifolia,79.12408333,30.58561111,Ginwal2023
Quercus semecarpifolia,79.33175278,29.49936389,Ginwal2023
Quercus semecarpifolia,80.65511111,29.97872222,Ginwal2023
Quercus semecarpifolia,80.64758333,30.03158333,Ginwal2023
Quercus semecarpifolia,84.433,29.4,Negi2021
Quercus semecarpifolia,77.29333333,32.0975,Sharma2013
Quercus semecarpifolia,77.23972222,32.05,Sharma2013
Quercus semecarpifolia,77.24083333,32.05222222,Sharma2013
Quercus semecarpifolia,77.27805556,32.085,Sharma2013
Quercus semecarpifolia,79.92506944,30.15909722,Shekhar2022
Quercus semecarpifolia,79.92506944,30.15909722,Shekhar2022
Quercus semecarpifolia,80.35141667,30.08943056,Shekhar2022
Quercus semecarpifolia,80.35141667,30.08943056,Shekhar2022
Quercus semecarpifolia,80.35141667,30.08943056,Shekhar2022
Quercus semecarpifolia,80.35141667,30.08943056,Shekhar2022
Quercus semecarpifolia,79.24163889,30.45319444,Shekhar2022
Quercus semecarpifolia,79.24163889,30.45319444,Shekhar2022
Quercus semecarpifolia,79.24163889,30.45319444,Shekhar2022
Quercus semecarpifolia,79.24163889,30.45319444,Shekhar2022
Quercus semecarpifolia,79.24163889,30.45319444,Shekhar2022
Quercus semecarpifolia,79.24163889,30.45319444,Shekhar2022
Quercus semecarpifolia,79.56494444,30.52397222,Shekhar2022
Quercus semecarpifolia,79.56494444,30.52397222,Shekhar2022
Quercus semecarpifolia,79.56494444,30.52397222,Shekhar2022
Quercus semecarpifolia,79.56494444,30.52397222,Shekhar2022
Quercus semecarpifolia,79.56494444,30.52397222,Shekhar2022
Quercus semecarpifolia,79.49105556,30.73837222,Shekhar2022
Quercus semecarpifolia,79.49105556,30.73837222,Shekhar2022
Quercus semecarpifolia,79.728,30.14288889,Shekhar2022
Quercus semecarpifolia,79.728,30.14288889,Shekhar2022
Quercus semecarpifolia,79.728,30.14288889,Shekhar2022
Quercus semecarpifolia,79.728,30.14288889,Shekhar2022
Quercus semecarpifolia,79.728,30.14288889,Shekhar2022
Quercus semecarpifolia,79.30883333,30.4865,Shekhar2022
Quercus semecarpifolia,79.30883333,30.4865,Shekhar2022
Quercus semecarpifolia,77.91633333,30.78122222,Shekhar2022
Quercus semecarpifolia,77.91633333,30.78122222,Shekhar2022
Quercus semecarpifolia,77.91633333,30.78122222,Shekhar2022
Quercus semecarpifolia,77.83272222,30.75844444,Shekhar2022
Quercus semecarpifolia,77.83272222,30.75844444,Shekhar2022
Quercus semecarpifolia,77.83272222,30.75844444,Shekhar2022
Quercus semecarpifolia,77.75567222,30.94284722,Shekhar2022
Quercus semecarpifolia,77.75567222,30.94284722,Shekhar2022
Quercus semecarpifolia,77.94200556,31.07233611,Shekhar2022
Quercus semecarpifolia,77.94200556,31.07233611,Shekhar2022
Quercus semecarpifolia,77.94200556,31.07233611,Shekhar2022
Quercus semecarpifolia,77.86611944,30.74791111,Shekhar2022
Quercus semecarpifolia,77.86611944,30.74791111,Shekhar2022
Quercus semecarpifolia,77.86611944,30.74791111,Shekhar2022
Quercus semecarpifolia,77.86611944,30.74791111,Shekhar2022
Quercus semecarpifolia,77.86611944,30.74791111,Shekhar2022
Quercus semecarpifolia,79.43557778,29.4063,Shekhar2022
Quercus semecarpifolia,79.43557778,29.4063,Shekhar2022
Quercus semecarpifolia,79.43557778,29.4063,Shekhar2022
Quercus semecarpifolia,79.43557778,29.4063,Shekhar2022
Quercus semecarpifolia,79.43557778,29.4063,Shekhar2022
Quercus semecarpifolia,79.32799444,29.50275556,Shekhar2022
Quercus semecarpifolia,79.32799444,29.50275556,Shekhar2022
Quercus semecarpifolia,79.10280833,30.05176389,Shekhar2022
Quercus semecarpifolia,79.10280833,30.05176389,Shekhar2022
Quercus semecarpifolia,79.10280833,30.05176389,Shekhar2022
Quercus semecarpifolia,79.10280833,30.05176389,Shekhar2022
Quercus semecarpifolia,78.99333056,30.04969167,Shekhar2022
Quercus semecarpifolia,78.99333056,30.04969167,Shekhar2022
Quercus semecarpifolia,78.99333056,30.04969167,Shekhar2022
Quercus semecarpifolia,80.21253889,30.06418889,Shekhar2022
Quercus semecarpifolia,80.21253889,30.06418889,Shekhar2022
Quercus semecarpifolia,80.21253889,30.06418889,Shekhar2022
Quercus semecarpifolia,80.21253889,30.06418889,Shekhar2022
Quercus semecarpifolia,80.21253889,30.06418889,Shekhar2022
Quercus semecarpifolia,80.21253889,30.06418889,Shekhar2022
Quercus semecarpifolia,80.21253889,30.06418889,Shekhar2022
Quercus semecarpifolia,80.65511944,29.97948056,Shekhar2022
Quercus semecarpifolia,80.65511944,29.97948056,Shekhar2022
Quercus semecarpifolia,80.65511944,29.97948056,Shekhar2022
Quercus semecarpifolia,80.65511944,29.97948056,Shekhar2022
Quercus semecarpifolia,80.65511944,29.97948056,Shekhar2022
Quercus semecarpifolia,80.648575,30.029925,Shekhar2022
Quercus semecarpifolia,80.648575,30.029925,Shekhar2022
Quercus semecarpifolia,80.648575,30.029925,Shekhar2022
Quercus semecarpifolia,80.648575,30.029925,Shekhar2022
Quercus semecarpifolia,80.648575,30.029925,Shekhar2022
Quercus semecarpifolia,78.94639444,30.49469444,Shekhar2022
Quercus semecarpifolia,78.94639444,30.49469444,Shekhar2022
Quercus semecarpifolia,78.94639444,30.49469444,Shekhar2022
Quercus semecarpifolia,79.20197778,30.486475,Shekhar2022
Quercus semecarpifolia,79.20197778,30.486475,Shekhar2022
Quercus semecarpifolia,79.20197778,30.486475,Shekhar2022
Quercus semecarpifolia,79.20197778,30.486475,Shekhar2022
Quercus semecarpifolia,79.20197778,30.486475,Shekhar2022
Quercus semecarpifolia,78.93444444,30.63472222,Shekhar2022
Quercus semecarpifolia,78.93444444,30.63472222,Shekhar2022
Quercus semecarpifolia,78.141525,30.58561111,Shekhar2022
Quercus semecarpifolia,78.141525,30.58561111,Shekhar2022
Quercus semecarpifolia,78.141525,30.58561111,Shekhar2022
Quercus semecarpifolia,78.67266667,30.68152778,Shekhar2022
Quercus semecarpifolia,78.67266667,30.68152778,Shekhar2022
Quercus semecarpifolia,78.83944444,30.67439167,Shekhar2022
Quercus semecarpifolia,78.83944444,30.67439167,Shekhar2022
Quercus semecarpifolia,78.83944444,30.67439167,Shekhar2022
Quercus semecarpifolia,78.21083056,30.75648333,Shekhar2022
Quercus semecarpifolia,78.21083056,30.75648333,Shekhar2022
Quercus semecarpifolia,78.21083056,30.75648333,Shekhar2022
Quercus semecarpifolia,78.21083056,30.75648333,Shekhar2022
Quercus semecarpifolia,78.21083056,30.75648333,Shekhar2022
Quercus semecarpifolia,78.50488889,30.66483333,Shekhar2022
Quercus semecarpifolia,78.50488889,30.66483333,Shekhar2022
Quercus semecarpifolia,78.50488889,30.66483333,Shekhar2022
Quercus semecarpifolia,78.46011111,30.99516667,Shekhar2022
Quercus semecarpifolia,78.46011111,30.99516667,Shekhar2022
Quercus semecarpifolia,78.46011111,30.99516667,Shekhar2022
Quercus semecarpifolia,78.46011111,30.99516667,Shekhar2022
Quercus semecarpifolia,78.66033333,30.84122222,Shekhar2022
Quercus semecarpifolia,78.66033333,30.84122222,Shekhar2022
Quercus semecarpifolia,77.4675,31.75416667,Singh2021
Quercus semecarpifolia,77.46638889,31.74472222,Singh2021
Quercus semecarpifolia,77.45222222,31.76638889,Singh2021
Quercus semecarpifolia,77.67778333,31.80808333,Singh2021
Quercus semecarpifolia,77.43493333,31.87336667,Singh2021
Quercus semecarpifolia,77.42248333,31.8583,Singh2021
Quercus semecarpifolia,77.39826667,31.68635,Singh2021
Quercus semecarpifolia,77.51083333,31.66333333,Singh2021
Quercus semecarpifolia,77.51305,31.66051667,Singh2021
Quercus semecarpifolia,77.51578333,31.6654,Singh2021
Quercus semecarpifolia,77.5181,31.67293333,Singh2021
Quercus semecarpifolia,77.51486667,31.66053333,Singh2021
Quercus semecarpifolia,77.51141667,31.66065,Singh2021
Quercus semecarpifolia,77.5235,31.67381833,Singh2021
Quercus semecarpifolia,77.51706667,31.669,Singh2021
Quercus semecarpifolia,77.51153333,31.80753333,Singh2021
Quercus semecarpifolia,77.42268333,31.86341667,Singh2021
Quercus semecarpifolia,77.48965,31.69165,Singh2021
Quercus semecarpifolia,77.48826667,31.69043333,Singh2021
Quercus semecarpifolia,77.56046667,31.70483333,Singh2021
Quercus semecarpifolia,77.5167,31.65976667,Singh2021
Quercus semecarpifolia,77.569,31.70505,Singh2021
Quercus semecarpifolia,77.5483,31.67653333,Singh2021
Quercus semecarpifolia,77.49068333,31.69431667,Singh2021
Quercus semecarpifolia,77.49476667,31.71303333,Singh2021
Quercus semecarpifolia,77.45972222,31.75833333,Singh2021
Quercus semecarpifolia,77.41541667,31.82105,Singh2021
Quercus semecarpifolia,77.3363,31.87393333,Singh2021
Quercus semecarpifolia,77.41655,31.82373333,Singh2021
Quercus semecarpifolia,77.47943333,31.6824,Singh2021
Quercus semecarpifolia,77.57326667,31.70615,Singh2021
Quercus semecarpifolia,77.49321667,31.71743333,Singh2021
Quercus semecarpifolia,77.49063333,31.6974,Singh2021
Quercus semecarpifolia,77.48986667,31.69746667,Singh2021
Quercus semecarpifolia,77.42031667,31.83115,Singh2021
Quercus semecarpifolia,77.41963333,31.82696667,Singh2021
Quercus semecarpifolia,77.5252,31.67358333,Singh2021
Quercus semecarpifolia,78.55905556,30.8265,Tiwari2018
Quercus semecarpifolia,79.21583333,30.60022222,Tiwari2018
Quercus semecarpifolia,78.51466667,30.91752778,Tiwari2018
Quercus semecarpifolia,78.51466667,30.91752778,Tiwari2018
Quercus semecarpifolia,78.56522222,30.65358333,Tiwari2023
Quercus semecarpifolia,78.83991667,30.55441667,Tiwari2023
Quercus semecarpifolia,78.29588889,30.41322222,Tiwari2023
Quercus semecarpifolia,78.85105556,30.65377778,Tiwari2023
Quercus semecarpifolia,79.43083333,30.64522222,Tiwari2023
Quercus semecarpifolia,78.58458333,30.81627778,Tiwari2023
Quercus semecarpifolia,78.56013889,30.45463889,Tiwari2023
Quercus semecarpifolia,78.84169444,30.59538889,Tiwari2023
Quercus semecarpifolia,78.59205556,30.45675,Tiwari2023
Quercus semecarpifolia,78.668,30.40813889,Sharma2018
Quercus semecarpifolia,78.66155556,30.41291667,Sharma2018
Quercus semecarpifolia,78.76969444,30.81627778,Sharma2018
Quercus semecarpifolia,78.77002778,30.83141667,Sharma2018
Quercus semecarpifolia,78.79305556,30.83227778,Sharma2018
Rhododendron arboreum,80.11953333,33.90938333,Amare2016
Rhododendron arboreum,75.94546667,32.54456667,Barman2023
Rhododendron arboreum,75.95811667,32.54073333,Barman2023
Rhododendron arboreum,76.06665,32.53973333,Barman2023
